iso3,anio,share_local,fx_share
BRB,2019,0.751,0.249
BRB,2020,0.688,0.31200000000000006
BRB,2021,0.6619999999999999,0.3380000000000001
BRB,2022,0.654,0.346
BRB,2023,0.624,0.376
BRB,2024,0.616,0.384
BRB,2025,0.606,0.394
BTN,1989,0.26,0.74
BTN,1990,0.20599999999999996,0.794
BTN,1991,0.07899999999999996,0.921
BTN,1992,0.14500000000000002,0.855
BTN,1993,0.03400000000000003,0.966
BTN,1994,0.08899999999999997,0.911
BTN,1995,0.0,1.0
BTN,1996,0.020000000000000018,0.98
BTN,1997,0.0,1.0
BTN,1998,0.0,1.0
BTN,1999,0.0,1.0
BTN,2000,0.0,1.0
BTN,2001,0.02400000000000002,0.976
BTN,2002,0.09899999999999998,0.901
BTN,2003,0.019000000000000017,0.981
BTN,2004,0.07999999999999996,0.92
BTN,2005,0.019000000000000017,0.981
BTN,2006,0.04700000000000004,0.953
BTN,2007,0.04200000000000004,0.958
BTN,2008,0.010000000000000009,0.99
BTN,2009,0.11099999999999999,0.889
BTN,2010,0.051000000000000045,0.949
BTN,2011,0.029000000000000026,0.971
BTN,2012,0.08699999999999997,0.913
BTN,2013,0.17400000000000004,0.826
BTN,2014,0.028000000000000025,0.972
BTN,2015,0.04300000000000004,0.957
BTN,2016,0.10399999999999998,0.896
BTN,2017,0.08699999999999997,0.913
BTN,2018,0.10199999999999998,0.898
BTN,2019,0.031000000000000028,0.969
BTN,2020,0.025000000000000022,0.975
BTN,2021,0.10199999999999998,0.898
BTN,2022,0.131,0.869
BTN,2023,0.126,0.874
BTN,2024,0.10499999999999998,0.895
BWA,1989,0.32099999999999995,0.679
BWA,1990,0.29500000000000004,0.705
BWA,1991,0.281,0.719
BWA,1992,0.21599999999999997,0.784
BWA,1993,0.237,0.763
BWA,1994,0.21799999999999997,0.782
BWA,1995,0.19499999999999995,0.805
BWA,1996,0.11099999999999999,0.889
BWA,1997,0.14100000000000001,0.859
BWA,1998,0.19099999999999995,0.809
BWA,1999,0.22399999999999998,0.776
BWA,2000,0.17800000000000005,0.822
BWA,2001,0.041000000000000036,0.959
BWA,2002,0.22299999999999998,0.777
BWA,2003,0.29700000000000004,0.703
BWA,2004,0.607,0.393
BWA,2005,0.482,0.518
BWA,2006,0.46799999999999997,0.532
BWA,2007,0.44499999999999995,0.555
BWA,2008,0.501,0.499
BWA,2009,0.45799999999999996,0.542
BWA,2010,0.637,0.363
BWA,2011,0.509,0.491
BWA,2012,0.482,0.518
BWA,2013,0.46599999999999997,0.534
BWA,2014,0.46399999999999997,0.536
BWA,2015,0.29900000000000004,0.701
BWA,2016,0.359,0.641
BWA,2017,0.392,0.608
BWA,2018,0.393,0.607
BWA,2019,0.42800000000000005,0.572
BWA,2020,0.606,0.394
BWA,2021,0.593,0.40700000000000003
BWA,2022,0.604,0.396
BWA,2023,0.613,0.387
BWA,2024,0.6579999999999999,0.3420000000000001
CAF,1989,0.262,0.738
CAF,1990,0.19899999999999995,0.801
CAF,1991,0.236,0.764
CAF,1992,0.15200000000000002,0.848
CAF,1993,0.16100000000000003,0.839
CAF,1994,0.18200000000000005,0.818
CAF,1995,0.16600000000000004,0.834
CAF,1996,0.127,0.873
CAF,1997,0.09599999999999997,0.904
CAF,1998,0.15900000000000003,0.841
CAF,1999,0.07199999999999995,0.928
CAF,2000,0.11099999999999999,0.889
CAF,2001,0.235,0.765
CAF,2002,0.15900000000000003,0.841
CAF,2003,0.351,0.649
CAF,2004,0.401,0.599
CAF,2005,0.41700000000000004,0.583
CAF,2006,0.18300000000000005,0.817
CAF,2007,0.21499999999999997,0.785
CAF,2008,0.238,0.762
CAF,2009,0.5820000000000001,0.4179999999999999
CAF,2010,0.505,0.495
CAF,2011,0.5589999999999999,0.44100000000000006
CAF,2012,0.646,0.354
CAF,2013,0.6619999999999999,0.3380000000000001
CAF,2014,0.647,0.353
