iso3,anio,PIB_crec_weo,cta_corriente_weo,deuda_bruta_weo,infl_ipc_weo,resultado_fiscal_weo,resultado_primario_weo
BEL,2000,3.717,3.965,109.589,2.682,-0.08,6.178
BEL,2001,1.1,3.335,108.217,2.438,0.233,6.239
BEL,2002,1.707,4.501,105.437,1.552,-0.044,5.321
BEL,2003,1.038,3.398,101.659,1.517,-1.864,3.086
BEL,2004,3.571,3.098,97.17,1.857,-0.239,4.235
BEL,2005,2.322,1.995,95.142,2.539,-2.715,1.325
BEL,2006,2.553,1.85,91.494,2.331,0.24,3.996
BEL,2007,3.677,1.496,87.325,1.819,0.067,3.666
BEL,2008,0.447,-1.006,93.16,4.49,-1.095,2.431
BEL,2009,-1.906,1.651,99.853,-0.004,-5.448,-1.941
BEL,2010,2.71,1.623,100.245,2.329,-4.133,-0.857
BEL,2011,1.931,-1.926,102.735,3.344,-4.441,-1.245
BEL,2012,0.216,-0.081,104.335,2.62,-4.348,-1.116
BEL,2013,0.306,0.951,105.021,1.252,-3.164,-0.148
BEL,2014,1.766,0.768,106.524,0.495,-3.175,-0.214
BEL,2015,1.474,1.387,105.525,0.623,-2.475,0.197
BEL,2016,1.193,0.554,105.404,1.772,-2.431,0.036
BEL,2017,1.475,0.701,102.4,2.225,-0.763,1.355
BEL,2018,1.878,-0.915,99.977,2.308,-1.048,0.841
BEL,2019,2.443,0.124,97.461,1.25,-2.048,-0.295
BEL,2020,-4.793,0.887,111.098,0.424,-9.035,-7.325
BEL,2021,6.202,1.834,108.37,3.217,-5.396,-3.947
BEL,2022,4.234,-1.314,102.555,10.331,-3.613,-2.313
