mes,bienes_capital,materiales,consumo_durable,consumo_no_durable,productos_finales,produccion_total,viviendas_iniciadas,permisos,tasa_politica,tasa_10y,tips_10y,breakeven_10y,exp_infl_1y,hipotecaria_30y,ipc,M2,credito_consumo,ratio,ln_ratio,d_ratio,ratio_alt,d_ratio_alt,infl_anual,r_tips,r_exante,r_hipo,r_expost,d_prod,d_covid,d_crisis,ln_ratio_alt,c_hp,t_hp,c_ham,c_det,t_det,c_hp_alt,c_ham_alt
1963-01,9.4292,22.9518,24.754,44.8377,27.2953,25.9581,1244.0,1248.0,2.92,3.833636363636364,,,,,30.44,365.2,68656.46,0.2102962462392139,-1.5592380459847905,0.9540227314151606,0.8408700398969785,-4.430528686626067,1.331557922769644,,,,1.5675689881734511,4.998414583491817,0,0,-0.17331816139379336,-0.01580267281720804,-1.5434353731675825,-0.06927746082202191,-0.20067147780634964,-1.358566568178441,-0.028511755839921965,-0.009992568721479689
1963-02,9.5661,23.2897,25.0132,45.3405,27.5186,26.2544,1456.0,1212.0,3.0,3.921111111111111,,,,,30.48,367.9,69376.75,0.2109835577463857,-1.5559750739149898,0.5035401821364305,0.8463257578510535,-4.407285618410121,1.2288276320159497,,,,1.749671916010498,4.510918448236589,0,0,-0.16685093692963754,-0.01542870953854214,-1.5405463643764477,-0.045401069802567307,-0.1993787945806298,-1.35659627933436,-0.022988101969732416,0.00643698047682828
1963-03,9.5074,23.6275,25.0651,45.569,27.5465,26.4159,1534.0,1258.0,2.98,3.928571428571429,,,,,30.51,370.7,70073.41,0.20863745089863722,-1.5671572180205695,-1.267922438899638,0.8577314722378524,-2.2020449104626083,1.1269472986410234,,,,1.8324024909865733,4.588874099334017,0,0,-0.1534641978990769,-0.029706453638552732,-1.5374507643820168,-0.05191431002208868,-0.21253122753029063,-1.3546259904902789,-0.010594716082202194,0.018069883790427038
1963-04,9.5954,23.8447,25.2725,45.7062,27.686,26.6582,1689.0,1288.0,2.9,3.970952380952381,,,,,30.48,373.3,70801.61,0.20993650751976753,-1.5609501391241403,-1.1797787566666829,0.861254785812324,-0.7233973876005495,0.893743793445867,,,,1.9884842519685144,5.288546106002956,0,0,-0.1493648998484318,-0.026807064779933665,-1.5341430743442066,-0.05748463935506898,-0.2082944374779423,-1.352655701646198,-0.007534110452321302,0.02225952484431018
1963-05,9.5661,24.3998,25.6872,45.569,27.686,26.9814,1641.0,1350.0,3.0,3.93,,,,,30.51,376.1,71335.14,0.20992560732076632,-1.5610020618798184,-0.5558931807411849,0.8813046304991692,3.393107979650739,0.8928571428571619,,,,2.0884955752212164,6.600480249848006,0,0,-0.12635193472129191,-0.03038220350871601,-1.5306198583711024,-0.05211524235124099,-0.21031664907770153,-1.3506854128021168,0.014400001991823341,0.036507568754330755
1963-06,9.6052,24.4964,26.1278,45.6148,27.7977,27.0622,1588.0,1345.0,2.99,3.993,,,,,30.61,378.4,71875.59,0.21057200733095396,-1.5579276067731682,-1.5119885416445378,0.8812383758368499,3.602961523476492,1.3240648791790657,,,,1.644165305455747,7.112727295421983,0,0,-0.12642711548239932,-0.03104806460065923,-1.526879542172509,-0.05388569433017665,-0.2092124828151325,-1.3487151239580357,0.013211510503107232,0.033432266885765116
1963-07,9.7422,24.255,26.1019,45.4319,27.7977,26.9545,1614.0,1321.0,3.02,4.0204545454545455,,,,,30.69,381.1,72716.45,0.21443523163239928,-1.5397475366419808,0.7204541941852938,0.8725542041248017,3.0180846676290924,1.5552614162806178,,,,1.4423069403714406,5.757205031614099,0,0,-0.13633050176383124,-0.016824875308505405,-1.5229226613334754,-0.02973721080543079,-0.19300270152802623,-1.3467448351139546,0.002165057666932313,0.01938975185060854
1963-08,9.9769,24.0378,26.1537,45.9347,28.1047,27.0083,1639.0,1310.0,3.49,4.002272727272727,,,,,30.75,383.6,73576.16,0.21719745638917856,-1.5269484019063142,0.0293767959067769,0.8552946660167161,0.5968187795532487,1.5521796565389767,,,,1.908201626016237,5.850945570860233,0,0,-0.15630923080358106,-0.008196494351666583,-1.5187519075546476,-0.015112950918048318,-0.1821738556364405,-1.3447745462698737,-0.018982709003222797,-0.003225524287579995
1963-09,9.9476,24.5205,26.6203,45.7976,28.1884,27.2776,1763.0,1413.0,3.48,4.0775,,,,,30.72,386.0,74169.77,0.2172078886229846,-1.5269003719548975,0.7623350182783151,0.8698790992039278,1.8556036771841975,0.9861932938855844,,,,2.4694531250000207,6.210724732984518,0,0,-0.13940104342250384,-0.012529231024105858,-1.5143711409307916,-0.031990406525699955,-0.1840961145291049,-1.3428042574257926,-0.003265895927967999,0.00755254973232708
1963-10,10.1236,24.6653,26.6462,46.1632,28.3838,27.4661,1779.0,1414.0,3.5,4.106086956521739,,,,,30.75,388.3,75112.95,0.21930022182171077,-1.517313612059897,0.8925222317602843,0.868992171590837,1.8581047757624536,1.2179065174456882,,,,2.254634146341461,6.794511531370562,0,0,-0.14042116228340146,-0.007528821302227318,-1.5097847907576696,-0.0019154572317066076,-0.17647964347818523,-1.3408339685817117,-0.00549477312617927,0.005475236680390239
1963-11,10.2019,24.8101,26.9054,46.1175,28.4396,27.6007,1622.0,1357.0,3.48,4.121764705882353,,,,,30.78,391.5,75606.92,0.2212153737735133,-1.5086185100605105,2.1782102127716696,0.8723786551146993,1.8203882038706904,1.3166556945358954,,,,2.135230669265731,6.8645632101238085,0,0,-0.1365317118101263,-0.0036203536439793904,-1.5049981564165311,-0.0053945253267513316,-0.16975483032287997,-1.3388636797376305,-0.002826285579454746,0.010547384682576932
1963-12,10.1823,24.6653,26.9832,46.5289,28.5512,27.5469,1491.0,1423.0,3.38,4.128571428571429,,,,,30.88,393.2,76581.45,0.2188381844402081,-1.5194227061095018,2.233864528791729,0.8638971391745355,1.6817043993343717,1.6458196181698526,,,,1.706101036269425,6.669450396265697,0,0,-0.14630156914664383,-0.019405645986062092,-1.5000170601234397,-0.019920029375209092,-0.1825293152159524,-1.3368933908935494,-0.0138237494080386,-0.005493934109657872
1964-01,10.4464,24.8584,27.035,46.9859,28.8582,27.7892,1603.0,1296.0,3.48,4.166818181818182,,,,,30.94,395.2,77461.36,0.22233052894591782,-1.5035901352508245,5.564791073396602,0.8613981468005627,2.411970364853349,1.6425755584756896,,,,1.8077310924369705,6.8163756371412365,0,0,-0.14919845774525986,-0.008742559742918488,-1.494847575507906,0.006586976935394562,-0.168667033201356,-1.3349231020494685,-0.017949130770683414,-0.00988641694127318
1964-02,10.3975,25.2445,27.1906,46.8031,28.7466,27.9777,1820.0,1442.0,3.48,4.145555555555556,,,,,30.91,397.6,78336.23,0.222154088083909,-1.504384047411184,5.159102650380576,0.8781734187695239,3.693974776179188,1.4107611548556331,,,,2.040452927855063,6.357417024729983,0,0,-0.12991118916784566,-0.014886923597438928,-1.489497123813745,-3.312102889307944e-05,-0.17143123420579665,-1.3329528132053874,0.00011547604689049473,0.0011592070874379967
1964-03,10.5247,25.2445,26.9832,46.666,28.6908,27.9777,1517.0,1313.0,3.43,4.2195238095238095,,,,,30.94,399.8,79240.41,0.22553250760725152,-1.4892909725256016,7.78662454949679,0.8798813556959025,2.549599422690649,1.4093739757456536,,,,1.992543632837762,5.744166269993611,0,0,-0.1279682036721704,-0.005317239118625361,-1.4839737334069762,0.008606091905944968,-0.15830844816429512,-1.3309825243613065,0.000849594530479475,0.005860798527247413
1964-04,10.7692,25.5341,27.709,47.7629,29.3327,28.4355,1448.0,1264.0,3.47,4.232272727272727,,,,,30.95,401.7,79908.16,0.22547207141944897,-1.4895589795081239,7.139115961601639,0.8704994766932468,1.0676778917834833,1.5419947506561726,,,,1.8987269789983772,6.454156897561658,0,0,-0.13868812093059696,-0.011272513040367027,-1.4782864664677569,0.007176336831916652,-0.16054674399089852,-1.3290122355172254,-0.011057439267883745,-0.0034188273000921865
1964-05,10.8866,25.7513,27.8645,48.22,29.4722,28.597,1467.0,1299.0,3.5,4.2,,,,,30.98,404.2,80834.52,0.22576939029448362,-1.4882411975962795,7.2760864283538895,0.8737488209227678,-0.8610400158350406,1.5404785316289749,,,,1.9297934151065064,5.8154077496577194,0,0,-0.13496233487964232,-0.015796443167319207,-1.4724447544289603,0.024085056294649965,-0.16119925092313525,-1.3270419466731442,-0.008489122559940665,0.009172984065207251
