index,iso3,anio,variable,valor
250,ARM,2021,resultado_fiscal_weo,-4.584
251,ARM,2022,resultado_fiscal_weo,-2.111
252,ARM,2023,resultado_fiscal_weo,-2.027
253,ARM,2024,resultado_fiscal_weo,-3.75
254,ARM,2025,resultado_fiscal_weo,-5.5
255,ARM,2026,resultado_fiscal_weo,-4.5
256,ATG,1995,resultado_fiscal_weo,-3.891
257,ATG,1996,resultado_fiscal_weo,-1.611
258,ATG,1997,resultado_fiscal_weo,0.0
259,ATG,1998,resultado_fiscal_weo,-1.62
260,ATG,1999,resultado_fiscal_weo,-3.076
261,ATG,2000,resultado_fiscal_weo,-4.503
262,ATG,2001,resultado_fiscal_weo,-8.576
263,ATG,2002,resultado_fiscal_weo,-8.829
264,ATG,2003,resultado_fiscal_weo,-7.322
265,ATG,2004,resultado_fiscal_weo,-3.901
266,ATG,2005,resultado_fiscal_weo,-4.294
267,ATG,2006,resultado_fiscal_weo,-6.625
268,ATG,2007,resultado_fiscal_weo,-4.979
269,ATG,2008,resultado_fiscal_weo,-4.716
270,ATG,2009,resultado_fiscal_weo,-15.801
271,ATG,2010,resultado_fiscal_weo,-0.245
272,ATG,2011,resultado_fiscal_weo,-3.09
273,ATG,2012,resultado_fiscal_weo,-0.975
274,ATG,2013,resultado_fiscal_weo,-3.829
275,ATG,2014,resultado_fiscal_weo,-2.601
276,ATG,2015,resultado_fiscal_weo,-2.418
277,ATG,2016,resultado_fiscal_weo,-0.14
278,ATG,2017,resultado_fiscal_weo,-2.717
279,ATG,2018,resultado_fiscal_weo,-2.43
280,ATG,2019,resultado_fiscal_weo,-3.64
281,ATG,2020,resultado_fiscal_weo,-6.227
282,ATG,2021,resultado_fiscal_weo,-4.52
283,ATG,2022,resultado_fiscal_weo,-2.843
284,ATG,2023,resultado_fiscal_weo,-1.698
285,ATG,2024,resultado_fiscal_weo,2.47
286,ATG,2025,resultado_fiscal_weo,-1.296
287,ATG,2026,resultado_fiscal_weo,-1.0
288,AUS,1995,resultado_fiscal_weo,-2.603
289,AUS,1996,resultado_fiscal_weo,-1.456
290,AUS,1997,resultado_fiscal_weo,-0.493
291,AUS,1998,resultado_fiscal_weo,-0.246
292,AUS,1999,resultado_fiscal_weo,0.666
293,AUS,2000,resultado_fiscal_weo,1.25
294,AUS,2001,resultado_fiscal_weo,-0.03
295,AUS,2002,resultado_fiscal_weo,0.193
296,AUS,2003,resultado_fiscal_weo,1.051
297,AUS,2004,resultado_fiscal_weo,1.323
298,AUS,2005,resultado_fiscal_weo,1.707
299,AUS,2006,resultado_fiscal_weo,1.771
300,AUS,2007,resultado_fiscal_weo,1.474
301,AUS,2008,resultado_fiscal_weo,-1.101
302,AUS,2009,resultado_fiscal_weo,-4.563
303,AUS,2010,resultado_fiscal_weo,-5.116
304,AUS,2011,resultado_fiscal_weo,-4.526
305,AUS,2012,resultado_fiscal_weo,-3.509
306,AUS,2013,resultado_fiscal_weo,-2.81
307,AUS,2014,resultado_fiscal_weo,-2.918
308,AUS,2015,resultado_fiscal_weo,-2.786
